31102105    Literary 	68.9
31102109	Literary 	67.6
31102111	Literary 	74.6
31102114	Literary 	65.1
31102116	Literary 	66.6
31102122	Literary 	79.9
31102128	Literary 	55.1
31102132	Literary 	77.1
31102133	Literary 	77
31102134	Literary 	62.1
31102135	Literary 	54.6
31102139	Literary 	76
31102141	Literary 	59.4
31102145	Literary 	77
31102151	Literary 	68.4
31102154	Literary 	57.7
31102155	Literary 	68.7
31102156	Literary 	57.4
31102163	Literary 	56.6
31102165	Literary 	75.1
31102169	Literary 	66.9
31102170	Literary 	73.1
31102173	Literary 	58.2
31102175	Literary 	76.4
31102176	Literary 	67.4
31102183	Literary 	52.6
31102184	Literary 	63.9
31102191	Literary 	58.3
31102192	Literary 	52.9
31102195	Literary 	55.1
31102196	Literary 	73.9
31102199	Literary 	88.1
31102203	Literary 	74.9
31102204	Literary 	67.6
31102205	Literary 	71
31102207	Literary 	88.1
31102208	Literary 	68.7
31102209	Literary 	74.9
31102210	Literary 	69.7
31102212	Literary 	60.9
31102213	Literary 	64.6
31102214	Literary 	83.3
31102217	Literary 	65.4
31102218	Literary 	66.6
31102219	Literary 	63.9
31102221	Literary 	60.7
31102222	Literary 	53.4
31102224	Literary 	77
31102225	Literary 	84.3
31102228	Literary 	61.1
31102229	Literary 	55.3
31102230	Literary 	66.7
31102231	Literary 	58
31102232	Literary 	83.7
31102233	Literary 	76.3
31102235	Literary 	68.9
31102236	Literary 	65.7
31102237	Literary 	73.6
31102238	Literary 	59.6
31102241	Literary 	76.7
31102243	Literary 	77.1
31102246	Literary 	65.7
31102247	Literary 	63.6
31102248	Literary 	56.4
31102249	Literary 	81.9
31102252	Literary 	60.4
31102254	Literary 	62.9
31102256	Literary 	52.3
31102257	Literary 	68
31102259	Literary 	54
31102262	Literary 	64
31102263	Literary 	77.4
31102264	Literary 	83.1
31102265	Literary 	73.6
31102266	Literary 	78.4
31102268	Literary 	80.4
31102270	Literary 	72.1
31102271	Literary 	73.6
31102273	Literary 	66.9
31102274	Literary 	73.7
31102275	Literary 	58
31102278	Literary 	74.3
31102280	Literary 	63
31102283	Literary 	69.1
31102284	Literary 	76.7
31102286	Literary 	74.6
31102287	Literary 	80
31102288	Literary 	60.7
31102289	Literary 	56.6
31102290	Literary 	60.6
31102292	Literary 	62.6
31102293	Literary 	77.3
31102294	Literary 	61.6
31102295	Literary 	67.1
31102296	Literary 	66.6
31102297	Literary 	51.6
31102300	Literary 	72.1
31102301	Literary 	69.1
31102302	Literary 	71
31102303	Literary 	70
31102305	Literary 	71.9
31102306	Literary 	69.4
31102308	Literary 	75.9
31102309	Literary 	63.7
31102314	Literary 	53.9
31102316	Literary 	89.1
31102317	Literary 	83.7
31102323	Literary 	84.7
31102327	Literary 	76.3
31102328	Literary 	58.6
31102330	Literary 	65.6
31102331	Literary 	67
31102332	Literary 	60.4
31102335	Literary 	63.6
31102336	Literary 	84.6
31102337	Literary 	81.6
31102338	Literary 	75.3
31102339	Literary 	57.4
31102340	Literary 	59.1
31102342	Literary 	73.9
31102344	Literary 	62
31102345	Literary 	61
31102346	Literary 	80.4
31102348	Literary 	81.9
31102349	Literary 	71
31102353	Literary 	62.9
31102354	Literary 	78.1
31102355	Literary 	73.1
31102358	Literary 	80
31102359	Literary 	68
31102363	Literary 	73.4
31102364	Literary 	59.4
31102365	Literary 	62.9
31102366	Literary 	69
31102367	Literary 	58.9
31102369	Literary 	81.4
31102370	Literary 	80.1
31102374	Literary 	60.9
31102375	Literary 	78.4
31102378	Literary 	73
31102379	Literary 	81.1
31102380	Literary 	61
31102381	Literary 	69
31102382	Literary 	62.9
31102385	Literary 	56.4
31102386	Literary 	66.3
31102388	Literary 	55.6
31102390	Literary 	60.1
31102391	Literary 	57.1
31102393	Literary 	82.1
31102394	Literary 	60.6
31102395	Literary 	67.7
31102398	Literary 	75.4
31102399	Literary 	60.9
31102402	Literary 	80.3
31102403	Literary 	60.1
31102404	Literary 	71.9
31102405	Literary 	90
31102406	Literary 	57.1
31102411	Literary 	59.3
31102412	Literary 	75
31102415	Literary 	60
31102416	Literary 	73.9
31102418	Literary 	67.4
31102419	Literary 	65.9
31102421	Literary 	61.3
31102422	Literary 	57.9
31102423	Literary 	55.9
31102425	Literary 	82.4
31102427	Literary 	71.7
31102429	Literary 	79.3
31102433	Literary 	79.7
31102436	Literary 	60.3
31102439	Literary 	67.6
31102441	Literary 	72.7
31102444	Literary 	56.3
31102446	Literary 	83.4
31102447	Literary 	62.6
31102449	Literary 	67.9
31102450	Literary 	87.3
31102452	Literary 	55.6
31102459	Literary 	66.7
31102462	Literary 	71.3
31102463	Literary 	61.1
31102466	Literary 	76.7
31102467	Literary 	78
31102471	Literary 	72.7
31102473	Literary 	60.1
31102475	Literary 	77.1
31102477	Literary 	80.3
31102479	Literary 	78.4
31102482	Literary 	66.6
31102483	Literary 	82.7
31102484	Literary 	61.7
31102485	Literary 	61.6
31102487	Literary 	68.7
31102489	Literary 	57.4
31102491	Literary 	59.7
31102494	Literary 	69.1
31102496	Literary 	67.4
31102499	Literary 	62.3
31102501	Literary 	78.9
31102502	Literary 	67.1
31102505	Literary 	72.7
31102506	Literary 	76.7
31102510	Literary 	77.1
31102512	Literary 	56.7
31102514	Literary 	64.9
31102515	Literary 	92.4
31102518	Literary 	59
31102521	Literary 	69.6
31102522	Literary 	70.9
31102525	Literary 	58.1
31102529	Literary 	71.3
31102530	Literary 	55
31102531	Literary 	70.1
31102533	Literary 	63.3
31102536	Literary 	66.9
31102537	Literary 	56
31102540	Literary 	69.7
31102541	Literary 	79
31102542	Literary 	57
31102544	Literary 	59.6
31102547	Literary 	68.7
31102549	Literary 	64.1
31102550	Literary 	58.7
31102552	Literary 	90
31102553	Literary 	73.4
31102554	Literary 	63.7
31102557	Literary 	76
31102558	Literary 	65.6
31102560	Literary 	68.1
31102562	Literary 	74.1
31102568	Literary 	74.3
31102571	Literary 	66.1
31102572	Literary 	73.9
31102575	Literary 	75.6
31102576	Literary 	65.7
31102583	Literary 	53.7
31102584	Literary 	76.4
31102585	Literary 	80.6
31102587	Literary 	55.4
31102588	Literary 	89.3
31102590	Literary 	59.4
31102592	Literary 	63.1
31102593	Literary 	59.7
31102594	Literary 	79
31102595	Literary 	67.7
31102597	Literary 	59.1
31102598	Literary 	74.7
31102603	Literary 	61.4
31102604	Literary 	64.1
31102606	Literary 	65.6
31102612	Literary 	60.4
31102614	Literary 	83.1
31102616	Literary 	60.6
31102618	Literary 	64
31102620	Literary 	81.1
31102621	Literary 	77.1
31102623	Literary 	66.7
31102624	Literary 	79.6
31102625	Literary 	62
31102627	Literary 	53.6
31102629	Literary 	58.3
31102632	Literary 	60.4
31102634	Literary 	73.7
31102635	Literary 	58.3
31102636	Literary 	66
31102637	Literary 	89.1
31102638	Literary 	76.9
31102640	Literary 	57.7
31102642	Literary 	58.3
31102643	Literary 	71
31102644	Literary 	88.4
31102645	Literary 	76.4
31102646	Literary 	70.1
31102648	Literary 	63.9
31102650	Literary 	61.7
31102651	Literary 	67.9
31102652	Literary 	60.6
31102653	Literary 	79.7
31102654	Literary 	59
31102655	Literary 	61.3
31102656	Literary 	63.1
31102657	Literary 	56.7
31102661	Literary 	58.3
31102662	Literary 	53.6
31102663	Literary 	76.3
31102664	Literary 	69
31102666	Literary 	65.9
31102668	Literary 	62.1
31102669	Literary 	72.6
31102670	Literary 	84
31102673	Literary 	54.4
31102675	Literary 	63.4
31102676	Literary 	63.3
31102677	Literary 	63.3
31102678	Literary 	78.6
31102679	Literary 	81.1
31102680	Literary 	60.6
31102681	Literary 	76.3
31102682	Literary 	80.9
31102683	Literary 	62
31102684	Literary 	72.1
31102685	Literary 	61.1
31102688	Literary 	74.3
31102689	Literary 	56.3
31102690	Literary 	85.4
31102692	Literary 	70.4
31102694	Literary 	57.6
31102696	Literary 	77
31102699	Literary 	66.1
31102700	Literary 	70.4
31102701	Literary 	78.9
31102702	Literary 	62.9
31102703	Literary 	89.3
31102707	Literary 	73.4
31102708	Literary 	65.3
31102709	Literary 	70.9
31102710	Literary 	65.7
31102712	Literary 	58.4
31102713	Literary 	62
31102714	Literary 	61
31102717	Literary 	78.4
31102718	Literary 	82.7
31102724	Literary 	57.6
31102725	Literary 	81.3
31102726	Literary 	86
31102730	Literary 	61.3
31102732	Literary 	65.1
31102735	Literary 	78.3
31102736	Literary 	72.9
31102737	Literary 	59
31102738	Literary 	71
31102739	Literary 	68.4
31102740	Literary 	85.6
31102741	Literary 	76.1
31102742	Literary 	53.6
31102743	Literary 	78.4
31102744	Literary 	79
31102745	Literary 	71.4
31102746	Literary 	69
31102748	Literary 	77.6
31102750	Literary 	64.6
31102751	Literary 	75.6
31102752	Literary 	95.1
31102753	Literary 	74.9
31102756	Literary 	73.4
31102757	Literary 	61.1
31102758	Literary 	55.1
31102759	Literary 	66.6
31102761	Literary 	66.3
31102762	Literary 	74.3
31102763	Literary 	84.3
31102764	Literary 	64
31102765	Literary 	70.9
31102766	Literary 	81.9
31102767	Literary 	65.6
31102768	Literary 	62.9
31102770	Literary 	89.6
31102771	Literary 	66.1
31102772	Literary 	77.4
31102773	Literary 	58.9
31102774	Literary 	68.3
31102775	Literary 	64.4
31102776	Literary 	72.7
31102778	Literary 	82.7
31102779	Literary 	79.1
31102780	Literary 	65
31102781	Literary 	74.3
31102783	Literary 	58.9
31102785	Literary 	76.6
31102787	Literary 	80.4
31102792	Literary 	63.7
31102793	Literary 	68.9
31102796	Literary 	69.7
31102797	Literary 	76.7
31102798	Literary 	75.7
31102799	Literary 	60.9
31102800	Literary 	68.7
31102801	Literary 	61.9
31102802	Literary 	70.4
31102803	Literary 	69.7
31102804	Literary 	61
31102805	Literary 	68.1
31102808	Literary 	85.7
31102811	Literary 	53.4
31102814	Literary 	63.3
31102815	Literary 	62.3
31102816	Literary 	62
31102819	Literary 	67.7
31102820	Literary 	73.3
31102822	Literary 	86.1
31102823	Literary 	78
31102824	Literary 	73.6
31102825	Literary 	79.9
31102827	Literary 	69.3
31102828	Literary 	79
31102829	Literary 	57
31102830	Literary 	73.3
31102831	Literary 	80.6
31102833	Literary 	70.7
31102834	Literary 	59
31102835	Literary 	80.9
31102836	Literary 	77
31102838	Literary 	89.3
31102839	Literary 	67.1
31102840	Literary 	80.1
31102843	Literary 	67.4
31102844	Literary 	75.9
31102847	Literary 	61.9
31102849	Literary 	66.7
